City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
295,mabaruma,8.2,-59.7833,33.79,50,31,4.61,GY,1707245927
296,alofi,-19.0595,-169.9187,23.94,88,97,1.03,NU,1707245928
297,srivardhan,18.0333,73.0167,24.05,69,0,3.53,IN,1707245929
298,mesa,33.4223,-111.8226,17.86,48,0,3.09,US,1707245929
299,san sebastian de la gomera,28.0916,-17.1133,21.2,64,0,3.09,ES,1707245930
300,puqi,29.7167,113.8833,-0.83,99,100,1.52,CN,1707245931
301,santa maria del oro,25.9333,-105.3667,24.26,9,83,4.05,MX,1707245931
302,saint-joseph,-21.3667,55.6167,23.21,80,68,5.16,RE,1707245932
303,kuusamo,65.9667,29.1833,-27.98,83,75,0.51,FI,1707245932
304,khilok,51.3674,110.4676,-19.76,97,53,1.3,RU,1707245933
305,sanming,26.2486,117.6186,9.86,97,100,0.86,CN,1707245934
306,elko,41.0002,-115.5012,3.42,85,100,1.79,US,1707245934
307,mont-laurier,46.5501,-75.4993,-0.21,84,23,0.68,CA,1707245935
308,salalah,17.0151,54.0924,22.54,54,91,0.97,OM,1707245936
309,yeniseysk,58.4497,92.1703,-5.03,90,100,3.13,RU,1707245937
310,black river,18.0264,-77.8487,25.55,64,23,8.99,JM,1707245937
311,kuta,-8.7233,115.1723,26.97,88,75,5.36,ID,1707245938
312,aasiaat,68.7098,-52.8699,-19.4,78,100,6.42,GL,1707245791
313,sitka,57.0531,-135.33,1.94,87,75,1.54,US,1707245939
314,howard springs,-12.497,131.047,27.95,95,26,2.82,AU,1707245940
315,hithadhoo,-0.6,73.0833,28.16,77,100,3.3,MV,1707245941
316,tarawa,1.419,172.984,28.05,89,40,1.03,KI,1707245941
317,chhatak,25.0333,91.6667,16.05,94,57,0.88,BD,1707245942
318,bridgewater,44.3835,-64.5155,2.79,82,100,5.66,CA,1707245789
319,barmer,25.75,71.3833,20.5,34,100,3.24,IN,1707245943
320,machali,-34.1833,-70.6667,30.6,27,7,5.66,CL,1707245944
321,crane,31.3974,-102.3501,16.41,37,100,8.15,US,1707245944
322,margate,51.3813,1.3862,12.15,81,100,7.6,GB,1707245945
323,claveria,18.6074,121.0832,22.76,84,0,4.56,PH,1707245946
324,fort bragg,35.139,-79.006,11.78,43,0,6.71,US,1707245947
325,greymouth,-42.4667,171.2,13.69,90,71,1.96,NZ,1707245948
326,suva,-18.1416,178.4415,26.71,83,75,4.12,FJ,1707245949
327,fortuna,40.5982,-124.1573,10.52,90,40,4.12,US,1707245733
328,bismarck,46.8083,-100.7837,0.91,100,100,3.09,US,1707245926
329,panitian,9.0965,118.0864,24.74,88,25,1.94,PH,1707245950
330,alta,69.9689,23.2717,-15.41,85,75,3.09,NO,1707245951
331,greenville,35.6127,-77.3663,11.19,48,0,7.72,US,1707245895
332,gornozavodsk,58.3758,58.3211,-6.11,92,100,4.7,RU,1707245952
333,igra,57.5558,53.0547,-3.81,96,100,3.34,RU,1707245953
334,soio,-6.1349,12.3689,26.8,81,100,2.79,AO,1707245953
335,brazzaville,-4.2658,15.2832,29.2,70,20,0.51,CG,1707245954
336,happy valley-goose bay,53.3168,-60.3315,-8.83,53,20,2.06,CA,1707245816
337,fallon,39.4735,-118.7774,3.84,93,100,0.0,US,1707245955
338,selfoss,63.9331,-20.9971,-9.03,83,71,4.06,IS,1707245956
339,colonia,50.9333,6.95,12.12,76,75,8.75,DE,1707245957
340,usinsk,65.9939,57.5281,-24.55,100,99,2.41,RU,1707245957
341,lichuan,30.3,108.85,-0.62,98,99,1.08,CN,1707245958
342,christchurch,-43.5333,172.6333,17.52,83,75,4.63,NZ,1707245863
343,sault ste. marie,46.5168,-84.3333,1.31,86,100,3.6,CA,1707245959
344,metlili chaamba,32.2667,3.6333,15.52,33,0,2.06,DZ,1707245960
345,klyuchi,52.2667,79.1667,-9.07,83,80,4.66,RU,1707245961
346,nha trang,12.25,109.1833,25.0,92,100,2.44,VN,1707245961
347,vorgashor,67.5833,63.95,-20.26,98,100,2.32,RU,1707245756
348,tual,-5.6667,132.75,28.2,79,100,9.44,ID,1707245963
349,ust-tsilma,65.441,52.1498,-22.99,99,100,0.45,RU,1707245964
350,inverell,-29.7833,151.1167,24.26,95,100,3.88,AU,1707245965
351,puerto deseado,-47.7503,-65.8938,25.06,26,99,12.55,AR,1707245965
352,nuuk,64.1835,-51.7216,-9.51,72,100,1.34,GL,1707245966
353,mount isa,-20.7333,139.5,25.87,83,100,1.54,AU,1707245800
354,sernur,56.9333,49.1536,-9.52,95,100,5.89,RU,1707245967
355,terrace,54.5163,-128.6035,-5.05,86,100,1.54,CA,1707245968
356,vadso,70.0744,29.7487,-7.91,93,75,2.06,NO,1707245969
357,nagqu,31.5,92.0,-11.53,27,5,0.92,CN,1707245969
358,sakaiminato,35.55,133.2333,3.99,100,75,2.06,JP,1707245818
359,ixtapa,20.7,-105.2,29.01,45,0,1.34,MX,1707245971
360,san andres,12.5847,-81.7006,28.01,57,20,8.23,CO,1707245971
